00:00:00$00:00:18$01:04:42$00:00:18$1$0$51,92$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:18$01:04:42$00:00:18$1$0$51,93$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:18$01:04:42$00:00:18$1$0$51,93$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$56000$0$0$
00:00:00$00:00:20$01:04:40$00:00:20$1$0$51,96$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$1$0$2$0$56000$0$0$
00:00:00$00:00:21$01:04:39$00:00:21$1$0$51,97$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$1$0$2$0$56000$0$0$
00:00:00$00:00:22$01:04:38$00:00:22$1$0$51,98$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$1$0$2$0$56000$0$0$
00:00:00$00:00:22$01:04:38$00:00:22$1$0$51,98$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$1$0$2$0$56000$0$0$
00:00:00$00:00:23$01:04:37$00:00:23$1$0$51,99$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$1$0$2$0$56000$0$0$
00:00:00$00:00:24$01:04:36$00:00:24$1$0$52,01$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:25$01:04:35$00:00:25$1$0$52,02$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
