00:00:00$00:00:00$21:05:43$22:10:44$1$0$0$41,025315$28,887823$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$14$0$2$0$56000$0$0$
00:00:00$00:00:00$01:05:00$00:00:00$1$0$51,68$41,025315$28,887823$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$14$0$2$0$56000$0$0$
00:00:00$00:00:00$01:05:00$00:00:00$1$0$51,68$41,025315$28,887823$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$14$0$2$0$56000$0$0$
00:00:00$00:00:00$01:05:00$00:00:00$1$0$51,68$41,025315$28,887823$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$14$0$2$0$56000$0$0$
00:00:00$00:00:00$01:05:00$00:00:00$1$0$51,68$41,025315$28,887823$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$14$0$2$0$56000$0$0$
00:00:00$00:00:00$01:05:00$00:00:00$1$0$51,68$41,025315$28,887823$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$14$0$2$0$56000$0$0$
00:00:00$00:01:16$01:03:44$00:01:16$1$0$52,71$41,025412$28,887761$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$45$0$2$0$56000$0$0$
00:00:00$00:01:16$01:03:44$00:01:16$1$0$52,72$41,025412$28,887761$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$45$0$2$0$56000$0$0$
00:00:00$00:01:17$01:03:43$00:01:17$1$0$52,73$41,025412$28,887761$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$45$0$2$0$56000$0$0$
00:00:00$00:01:17$01:03:43$00:01:17$1$0$52,73$41,025412$28,887761$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$45$0$2$0$56000$0$0$
00:00:00$00:01:18$01:03:42$00:01:18$1$0$52,74$41,025412$28,887761$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$45$0$2$0$56000$0$0$
